Year	Month	Onetime.Arrivals	Ontime.pct	Arrival.Delays	Delayed.pct	Flights.Cancelled	Cancelled.Pct	Diverted	Flight.Operations
1998.333333	May	348123	77.48	90817	20.21	9393	2.09	960	449293
1998.416667	June	314358	70.42	117406	26.3	12870	2.88	1793	446427
1998.5	July	364661	78.86	87352	18.89	9330	2.02	1086	462429
1998.583333	August	358905	77.03	91112	19.56	14726	3.16	1167	465910
1998.666667	September	350399	78.94	59956	13.51	32893	7.41	653	443901
1998.75	October	374356	81.75	74890	16.35	7815	1.71	893	457954
1998.833333	November	363565	83.29	65890	15.09	6419	1.47	654	436528
1998.916667	December	333210	73.22	110454	24.27	9900	2.18	1535	455099
1999	January	307070	67.66	118153	26.04	26543	5.85	2048	453814
1999.083333	February	329531	78.91	72793	17.43	14523	3.48	780	417627
1999.166667	March	364108	78.09	88715	19.03	12419	2.66	1025	466267
1999.25	April	341252	75.73	99351	22.05	8923	1.98	1094	450620
1999.333333	May	352017	76.19	97022	21	11857	2.57	1158	462054
1999.416667	June	326363	70.88	119811	26.02	12676	2.75	1617	460467
1999.5	July	336896	71.07	120603	25.44	14873	3.14	1675	474047
1999.583333	August	365001	76.11	101734	21.21	11711	2.44	1103	479549
1999.666667	September	365196	79.35	79014	17.17	15243	3.31	798	460251
1999.75	October	382921	80.06	85013	17.77	9751	2.04	609	478294
1999.833333	November	370397	81.41	76175	16.74	7631	1.68	747	454950
1999.916667	December	366541	78	94341	20.07	8161	1.74	901	469944
2000	January	346960	73.75	97699	20.77	24515	5.21	1303	470477
2000.083333	February	332308	74.76	95920	21.58	15188	3.42	1083	444499
2000.166667	March	371811	76.99	99890	20.68	10237	2.12	1006	482944
2000.25	April	349161	75.37	101445	21.9	11642	2.51	1015	463263
2000.333333	May	355608	74.25	105425	22.01	16513	3.45	1363	478909
2000.416667	June	312519	66.34	138347	29.37	18632	3.95	1602	471100
2000.5	July	339815	70.31	126682	26.21	15526	3.21	1319	483342
2000.583333	August	343780	69.96	131225	26.71	14991	3.05	1370	491366
2000.666667	September	361661	78.1	90086	19.45	10365	2.24	985	463097
2000.75	October	369535	76.07	104943	21.6	10369	2.13	914	485761
2000.833333	November	340231	72.82	115294	24.67	10912	2.34	814	467251
2000.916667	December	301874	62.75	149084	30.99	28600	5.95	1480	481038
2001	January	399707	75.42	109367	20.64	19891	3.75	975	529940
2001.083333	February	347544	72.73	111403	23.31	17448	3.65	1429	477824
2001.166667	March	399500	75.22	112825	21.24	17876	3.37	918	531119
2001.25	April	407675	79.29	94162	18.31	11414	2.22	936	514187
2001.333333	May	431745	81.47	87900	16.59	9452	1.78	843	529940
2001.416667	June	391106	75.18	111975	21.52	15509	2.98	1640	520230
2001.5	July	420617	78.12	105344	19.56	11286	2.1	1193	538440
2001.583333	August	414706	76.18	114753	21.08	13318	2.45	1574	544351
2001.666667	September	331991	67.66	57997	11.82	99324	20.24	1386	490698
2001.75	October	376237	84.78	59952	13.51	6850	1.54	757	443796
2001.833333	November	353559	84.71	58677	14.06	4497	1.08	653	417386
2001.916667	December	344847	80.22	80084	18.63	4333	1.01	605	429869
2002	January	353531	81.02	75006	17.19	7301	1.67	498	436336
2002.083333	February	338383	84.69	56416	14.12	4323	1.08	413	399535
2002.166667	March	351986	78.59	89124	19.9	6033	1.35	753	447896
2002.25	April	361805	82.58	71108	16.23	4513	1.03	715	438141
2002.333333	May	372438	82.76	72598	16.13	4442	0.99	568	450046
2002.416667	June	352576	78.64	87075	19.42	7666	1.71	1016	448333
2002.5	July	370897	79.66	87306	18.75	6260	1.34	1110	465573
2002.583333	August	385663	82.62	74900	16.05	5339	1.14	862	466764
2002.666667	September	378187	87.95	47609	11.07	3686	0.86	514	429996
2002.75	October	375919	84.18	65629	14.7	4549	1.02	493	446590
2002.833333	November	353622	85.21	57253	13.8	3675	0.89	474	415024
2002.916667	December	334628	78.34	84201	19.71	7356	1.72	940	427125
2003	January	460021	83.32	82900	15.02	8341	1.51	847	552109
2003.083333	February	382878	76.54	96144	19.22	20001	4	1183	500206
2003.166667	March	461877	82.58	86966	15.55	9554	1.71	945	559342
2003.25	April	457937	86.85	62421	11.84	6334	1.2	611	527303
2003.333333	May	453321	84.93	75402	14.13	4313	0.81	746	533782
2003.416667	June	441869	82.36	89441	16.67	4161	0.78	1025	536496
2003.5	July	444949	79.66	104579	18.72	7835	1.4	1205	558568
2003.583333	August	440032	79	106326	19.09	9109	1.64	1517	556984
2003.666667	September	451866	85.63	67386	12.77	7691	1.46	771	527714
2003.75	October	477165	86.39	69394	12.56	5091	0.92	720	552370
2003.833333	November	423594	80.2	96177	18.21	7407	1.4	993	528171
2003.916667	December	422377	76.04	120668	21.72	11632	2.09	818	555495
2004	January	437125	74.85	128236	21.96	17611	3.02	1015	583987
2004.083333	February	429134	77.48	114517	20.68	9481	1.71	744	553876
2004.166667	March	488899	81.29	104031	17.3	7603	1.26	879	601412
2004.25	April	484083	83.04	93754	16.08	4485	0.77	648	582970
2004.333333	May	461418	77.62	121019	20.36	10381	1.75	1639	594457
2004.416667	June	429545	72.95	148726	25.26	8796	1.49	1725	588792
2004.5	July	466454	75.95	135999	22.14	10132	1.65	1581	614166
2004.583333	August	487838	78.29	123884	19.88	10163	1.63	1222	623107
2004.666667	September	490962	83.91	75147	12.84	17969	3.07	1047	585125
2004.75	October	494137	81	108341	17.76	6695	1.1	864	610037
2004.833333	November	462538	79.12	113696	19.45	7337	1.26	1039	584610
2004.916667	December	434205	71.56	154041	25.39	17104	2.82	1381	606731
2005	January	424715	71.39	143316	24.09	25084	4.22	1808	594923
2005.083333	February	423062	77.58	111897	20.52	9505	1.74	868	545332
2005.166667	March	475105	76.94	131384	21.28	10169	1.65	882	617540
2005.25	April	496042	83.44	90137	15.16	7532	1.27	781	594492
2005.333333	May	514427	83.67	93619	15.23	5877	0.96	879	614802
2005.416667	June	458114	75.2	139742	22.94	9916	1.63	1423	609195
2005.5	July	445340	70.92	166767	26.56	13851	2.21	2003	627961
2005.583333	August	474212	75.16	141431	22.42	13452	2.13	1809	630904
2005.666667	September	474670	82.66	87235	15.19	11532	2.01	816	574253
2005.75	October	481609	81.26	99904	16.86	10475	1.77	724	592712
2005.833333	November	453082	80.03	106543	18.82	5586	0.99	927	566138
2005.916667	December	406395	71.01	154090	26.92	10751	1.88	1107	572343
2006	January	457831	78.76	112299	19.32	9787	1.68	1370	581287
2006.083333	February	400035	75.3	118610	22.33	11293	2.13	1309	531247
2006.166667	March	460681	76.12	135897	22.45	7586	1.25	1053	605217
2006.25	April	459003	78.42	118715	20.28	6604	1.13	1029	585351
2006.333333	May	471933	78.27	122693	20.35	7057	1.17	1236	602919
2006.416667	June	435735	72.83	150683	25.18	10088	1.69	1809	598315
2006.5	July	457860	73.7	150771	24.27	10735	1.73	1878	621244
2006.583333	August	476595	75.8	140784	22.39	9783	1.56	1570	628732
2006.666667	September	445850	76.22	127900	21.87	9950	1.7	1237	584937
2006.75	October	446019	72.91	153067	25.02	11399	1.86	1233	611718
2006.833333	November	448580	76.52	126990	21.66	9558	1.63	1069	586197
2006.916667	December	428143	70.8	157128	25.98	18094	2.99	1393	604758
2007	January	454438	73.11	150144	24.16	15777	2.54	1200	621559
2007.083333	February	380443	67.26	158435	28.01	25465	4.5	1261	565604
2007.166667	March	468368	73.27	152689	23.89	16877	2.64	1275	639209
2007.25	April	465326	75.71	136991	22.29	11138	1.81	1193	614648
2007.333333	May	492028	77.9	131298	20.79	6841	1.08	1442	631609
2007.416667	June	428336	68.07	181502	28.84	17243	2.74	2199	629280
2007.5	July	452585	69.78	180319	27.8	13506	2.08	2150	648560
2007.583333	August	468032	71.64	170851	26.15	12295	1.88	2101	653279
2007.666667	September	490335	81.7	102383	17.06	6507	1.08	962	600187
2007.75	October	492688	78.21	128977	20.47	7327	1.16	1000	629992
2007.833333	November	484309	80.03	113680	18.79	6279	1.04	881	605149
2007.916667	December	396551	64.34	196759	31.92	21554	3.5	1518	616382
2008	January	438323	72.36	148807	24.57	17308	2.86	1327	605765
2008.083333	February	390688	68.63	156237	27.45	20596	3.62	1715	569236
2008.166667	March	440973	71.58	157370	25.54	16183	2.63	1564	616090
2008.25	April	464554	77.67	122169	20.43	10355	1.73	1048	598126
2008.333333	May	479084	79.02	120126	19.81	6229	1.03	854	606293
2008.416667	June	431198	70.84	164260	26.99	10931	1.8	2276	608665
2008.5	July	475373	75.7	140050	22.3	10598	1.69	1910	627931
2008.583333	August	480269	78.44	120481	19.68	9835	1.61	1694	612279
2008.666667	September	459127	84.88	71149	13.15	9913	1.83	719	540908
2008.75	October	478554	86.04	73517	13.22	3249	0.58	885	556205
2008.833333	November	436051	83.33	81922	15.66	4458	0.85	841	523272
2008.916667	December	356100	65.34	168647	30.95	17777	3.26	2432	544956
2009	January	409990	77.02	108656	20.41	12430	2.33	1263	532339
2009.083333	February	403419	82.6	78087	15.99	6092	1.25	812	488410
2009.166667	March	436995	78.4	107408	19.27	11682	2.1	1337	557422
2009.25	April	425617	79.14	102681	19.09	7974	1.48	1521	537793
2009.333333	May	440151	80.49	100688	18.41	4792	0.88	1201	546832
2009.416667	June	424414	76.12	122886	22.04	8282	1.49	2012	557594
2009.5	July	450203	77.6	121429	20.93	6838	1.18	1664	580134
2009.583333	August	452847	79.68	108382	19.07	5618	0.99	1454	568301
2009.666667	September	440215	86.17	66762	13.07	2934	0.57	941	510852
2009.75	October	410896	77.27	114549	21.54	5273	0.99	1081	531799
2009.833333	November	451379	88.59	54740	10.74	2732	0.54	689	509540
2009.916667	December	381031	71.99	132020	24.94	14730	2.78	1488	529269
2010	January	410629	78.69	96928	18.58	12833	2.46	1419	521809
2010.083333	February	360816	74.66	95021	19.66	26300	5.44	1133	483270
2010.166667	March	439185	79.96	100534	18.3	8231	1.5	1312	549262
2010.25	April	451557	85.31	73184	13.83	3637	0.69	952	529330
2010.333333	May	433848	79.94	100683	18.55	6716	1.24	1500	542747
2010.416667	June	421581	76.42	120007	21.75	8279	1.5	1820	551687
2010.5	July	437736	76.69	122900	21.53	8170	1.43	1982	570788
2010.583333	August	464770	81.65	97597	17.15	5613	0.99	1237	569217
2010.666667	September	447537	85.07	72738	13.83	4754	0.9	1078	526107
2010.75	October	457002	83.77	82391	15.1	5275	0.97	851	545519
2010.833333	November	433284	83.16	83138	15.96	3755	0.72	822	520999
2010.916667	December	388559	72.04	129763	24.06	19692	3.65	1368	539382
2011	January	377224	76.3	97078	19.64	19134	3.87	964	494400
2011.083333	February	339540	74.54	92709	20.35	22179	4.87	1088	455516
2011.166667	March	417323	79.24	101542	19.28	6671	1.27	1151	526687
2011.25	April	382828	75.5	112528	22.19	10163	2	1505	507024
2011.333333	May	401179	77.06	107145	20.58	10754	2.07	1534	520612
2011.416667	June	406609	76.92	111137	21.03	9290	1.76	1552	528588
2011.5	July	425962	77.84	110478	20.19	9232	1.69	1547	547219
2011.583333	August	429581	79.34	96632	17.85	13726	2.54	1503	541442
2011.666667	September	408896	83.88	73512	15.08	3987	0.82	1073	487468
2011.75	October	431461	85.54	68219	13.52	3901	0.77	816	504397
2011.833333	November	407760	85.3	66279	13.86	3228	0.68	773	478040
2011.916667	December	416669	84.37	72613	14.7	3713	0.75	893	493888
2012	January	407117	83.75	70908	14.59	7104	1.46	1004	486133
2012.083333	February	400504	86.16	58987	12.69	4661	1	674	464826
2012.166667	March	428718	82.19	86476	16.58	5410	1.04	1024	521628
2012.25	April	435791	86.26	63639	12.6	4961	0.98	827	505218
2012.333333	May	432244	83.38	80453	15.52	4479	0.86	1247	518423
2012.416667	June	425049	80.66	94684	17.97	5786	1.1	1414	526933
2012.5	July	414377	76.01	121396	22.27	7710	1.41	1648	545131
2012.583333	August	428020	79.15	104434	19.31	7099	1.31	1240	540793
2012.666667	September	408355	83.3	77075	15.72	3953	0.81	816	490199
2012.75	October	413287	80.21	86545	16.8	14624	2.84	798	515254
2012.833333	November	418368	85.73	63834	13.08	5105	1.05	699	488006
2012.916667	December	378393	76.56	106727	21.6	7970	1.61	1128	494218
2013	January	412617	80.98	88210	17.31	7561	1.48	1131	509519
2013.083333	February	373995	79.62	83565	17.79	11329	2.41	857	469746
2013.166667	March	440674	79.79	101743	18.42	8933	1.62	962	552312
2013.25	April	414619	77.3	111306	20.75	9459	1.76	1009	536393
2013.333333	May	435706	79.42	105278	19.19	6238	1.14	1420	548642
2013.416667	June	397225	71.94	143184	25.93	9852	1.78	1880	552141
2013.5	July	417698	73.07	142559	24.94	9599	1.68	1767	571623
2013.583333	August	443425	78.77	112650	20.01	5537	0.98	1309	562921
2013.666667	September	428206	83.83	77134	15.1	4412	0.86	1054	510806
2013.75	October	449983	84.05	81338	15.19	3263	0.61	760	535344
2013.833333	November	420007	83.45	77352	15.37	5082	1.01	855	503296
2013.916667	December	355878	68.87	144958	28.05	14747	2.85	1156	516739
2014	January	319626	67.72	119994	25.43	30852	6.54	1477	471949
2014.083333	February	304301	70.67	101440	23.56	23719	5.51	1142	430602
2014.166667	March	390746	77.57	102297	20.31	9848	1.95	867	503758
2014.25	April	385075	79.64	91806	18.99	5562	1.15	1056	483499
2014.333333	May	383928	76.9	104145	20.86	9513	1.91	1692	499278
2014.416667	June	361010	71.83	129706	25.81	10133	2.02	1768	502617
2014.5	July	393852	75.61	117151	22.49	8390	1.61	1487	520880
2014.583333	August	394411	77.72	105706	20.83	5949	1.17	1425	507491
2014.666667	September	380547	81.06	81178	17.29	6776	1.44	988	469489
2014.75	October	392728	79.98	92285	18.79	5206	1.06	792	491011
2014.833333	November	372389	80.59	84657	18.32	4301	0.93	707	462054
2014.916667	December	359237	75.28	110163	23.09	6735	1.41	1048	477183
2015	January	361062	76.83	95951	20.42	11982	2.55	973	469968
2015.083333	February	312484	72.81	95179	22.18	20517	4.78	1011	429191
2015.166667	March	396686	78.66	95452	18.93	11002	2.18	1172	504312
2015.25	April	397004	81.83	82247	16.95	4520	0.93	1380	485151
2015.333333	May	399996	80.48	89645	18.04	5694	1.15	1658	496993
2015.416667	June	377105	74.84	115742	22.97	9120	1.81	1930	503897
2015.5	July	406757	78.11	107627	20.67	4806	0.92	1528	520718
2015.583333	August	409843	80.28	94113	18.43	5052	0.99	1528	510536
2015.666667	September	402092	86.48	60061	12.92	2075	0.45	718	464946
2015.75	October	422799	86.97	60079	12.36	2454	0.5	833	486165
2015.833333	November	391796	83.72	70571	15.08	4599	0.98	1006	467972
2015.916667	December	372945	77.82	96772	20.19	8063	1.68	1450	479230
2016	January	362416	81.29	70882	15.9	11665	2.62	864	445827
2016.083333	February	354417	83.61	61680	14.55	6823	1.61	969	423889
2016.166667	March	390717	81.55	82569	17.23	4733	0.99	1103	479122
2016.25	April	390095	84.5	66607	14.43	4109	0.89	819	461630
2016.333333	May	400001	83.45	75498	15.75	2509	0.52	1350	479358
2016.416667	June	380555	78.04	100361	20.58	4982	1.02	1739	487637
2016.5	July	377597	75.15	113601	22.61	9309	1.85	1950	502457
2016.583334	August	386544	77.57	103421	20.75	6893	1.38	1489	498347
2016.666667	September	388872	85.49	63686	14	1517	0.33	803	454878
2016.75	October	404016	85.48	63470	13.43	4547	0.96	593	472626
2016.833334	November	390040	86.5	58871	13.06	1310	0.29	717	450938
2016.916667	December	348636	75.63	103593	22.47	7464	1.62	1256	460949
2017	January	341946	75.99	97699	21.71	8886	1.97	1486	450017
2017.083334	February	338961	82.57	64264	15.65	6312	1.54	980	410517
2017.166667	March	390515	79.93	88638	18.14	8527	1.75	917	488597
2017.25	April	367834	78.54	92143	19.67	7398	1.58	954	468329
2017.333334	May	384820	79.1	96680	19.87	4039	0.83	944	486483
2017.416667	June	376862	76.25	110719	22.4	5379	1.09	1306	494266
2017.5	July	391677	76.94	110081	21.62	5757	1.13	1555	509070
2017.583334	August	393449	77.08	104709	20.51	11007	2.16	1286	510451
2017.666667	September	383679	83.64	58914	12.84	15343	3.34	791	458727
2017.75	October	406720	84.77	69027	14.39	3303	0.69	747	479797
2017.833334	November	400871	88.27	51298	11.3	1418	0.31	575	454162
2017.916667	December	372590	80.26	85302	18.38	5324	1.15	989	464205
2018	January	453940	79.62	97760	17.15	17169	3.01	1249	570118
2018.083334	February	413030	79.32	97291	18.68	8976	1.72	1434	520731
2018.166667	March	494957	80.88	98744	16.13	17280	2.82	1006	611987
2018.25	April	484766	81.33	103805	17.42	6251	1.05	1224	596046
2018.333334	May	489266	79.36	118393	19.2	7155	1.16	1715	616529
2018.416667	June	479466	76.57	134105	21.42	10694	1.71	1928	626193
2018.5	July	489514	75.86	142650	22.11	11083	1.72	2052	645299
2018.583334	August	487364	75.6	142884	22.16	12353	1.92	2072	644673
2018.666667	September	481288	82.17	94962	16.21	8132	1.39	1367	585749
2018.75	October	508677	82.56	101657	16.5	4485	0.73	1282	616101
2018.833334	November	466970	79.66	111777	19.07	6254	1.07	1177	586178
2018.916667	December	477055	80.33	108682	18.3	6752	1.14	1353	593842
2019	January	460741	78.9	105222	18.02	16726	2.86	1296	583985
2019.083334	February	396837	74.43	119477	22.41	15255	2.86	1606	533175
2019.166667	March	512228	81.04	106277	16.81	12564	1.99	1005	632074
2019.25	April	487502	79.65	108518	17.73	14488	2.37	1515	612023
2019.333334	May	495056	77.79	126283	19.84	13012	2.04	2039	636390
2019.416667	June	467529	73.43	153358	24.09	13227	2.08	2577	636691
2019.5	July	508151	77.11	135630	20.58	12928	1.96	2320	659029
2019.583334	August	512073	77.77	133278	20.24	11298	1.72	1812	658461
2019.666667	September	511148	84.35	83568	13.79	10016	1.65	1247	605979
