Date	Weight	Month	Year	Day of Week	Day of Year	"Days since July 19, 2014"
11/02/2014	174	11	2014	Su	306	106
11/03/2014	174	11	2014	M	307	107
11/04/2014	173.6	11	2014	T	308	108
11/05/2014	172.6	11	2014	W	309	109
11/06/2014	173.6	11	2014	Th	310	110
11/07/2014	174	11	2014	F	311	111
11/08/2014	174.2	11	2014	Sa	312	112
11/09/2014	175.2	11	2014	Su	313	113
11/10/2014	171.8	11	2014	M	314	114
11/11/2014	171	11	2014	T	315	115
11/12/2014	172.2	11	2014	W	316	116
11/13/2014	170.6	11	2014	Th	317	117
11/14/2014		11	2014	F	318	118
11/15/2014		11	2014	Sa	319	119
11/16/2014	173.6	11	2014	Su	320	120
11/17/2014	171.6	11	2014	M	321	121
11/18/2014		11	2014	T	322	122
11/19/2014		11	2014	W	323	123
11/20/2014		11	2014	Th	324	124
11/21/2014	174	11	2014	F	325	125
11/22/2014		11	2014	Sa	326	126
11/23/2014		11	2014	Su	327	127
11/24/2014		11	2014	M	328	128
11/25/2014		11	2014	T	329	129
11/26/2014		11	2014	W	330	130
11/27/2014		11	2014	Th	331	131
11/28/2014		11	2014	F	332	132
11/29/2014		11	2014	Sa	333	133
11/30/2014		11	2014	Su	334	134
12/01/2014		12	2014	M	335	135
12/02/2014		12	2014	T	336	136
12/03/2014		12	2014	W	337	137
12/04/2014		12	2014	Th	338	138
12/05/2014		12	2014	F	339	139
12/06/2014	176	12	2014	Sa	340	140
12/07/2014		12	2014	Su	341	141
12/08/2014	177.8	12	2014	M	342	142
12/09/2014	175.6	12	2014	T	343	143
12/10/2014		12	2014	W	344	144
12/13/2014	174.8	12	2014	Sa	347	147
12/14/2014	176	12	2014	Su	348	148
12/15/2014	176.8	12	2014	M	349	149
12/16/2014	176.2	12	2014	T	350	150
12/17/2014	174.8	12	2014	W	351	151
12/18/2014	175.6	12	2014	Th	352	152
12/19/2014	176	12	2014	F	353	153
12/20/2014	177.8	12	2014	Sa	354	154
12/21/2014	176.4	12	2014	Su	355	155
12/22/2014	176.2	12	2014	M	356	156
12/23/2014		12	2014	T	357	157
12/24/2014	180	12	2014	W	358	158
12/25/2014	179.8	12	2014	Th	359	159
12/26/2014	177.8	12	2014	F	360	160
12/27/2014	177.6	12	2014	Sa	361	161
12/28/2014	178	12	2014	Su	362	162
12/29/2014	177.8	12	2014	M	363	163
12/30/2014	177	12	2014	T	364	164
12/31/2014	176	12	2014	W	365	165
01/01/2015	177.2	1	2015	Th	1	166
01/02/2015	176.6	1	2015	F	2	167
01/03/2015	176.8	1	2015	Sa	3	168
01/04/2015	177.8	1	2015	Su	4	169
01/05/2015	177.2	1	2015	M	5	170
01/06/2015	175.8	1	2015	T	6	171
01/07/2015		1	2015	W	7	172
01/08/2015		1	2015	Th	8	173
01/09/2015	176.6	1	2015	F	9	174
01/10/2015	175	1	2015	Sa	10	175
01/11/2015	175.8	1	2015	Su	11	176
01/12/2015	176.6	1	2015	M	12	177
01/13/2015	177.6	1	2015	T	13	178
01/14/2015	175.2	1	2015	W	14	179
01/15/2015	176.2	1	2015	Th	15	180
01/16/2015		1	2015	F	16	181
01/17/2015		1	2015	Sa	17	182
01/18/2015	176	1	2015	Su	18	183
01/19/2015	175.2	1	2015	M	19	184
01/20/2015	173.2	1	2015	T	20	185
01/21/2015	175.2	1	2015	W	21	186
01/22/2015		1	2015	Th	22	187
01/23/2015		1	2015	F	23	188
01/24/2015	175.6	1	2015	Sa	24	189
01/25/2015	176.2	1	2015	Su	25	190
01/26/2015	175.4	1	2015	M	26	191
01/27/2015	175.6	1	2015	T	27	192
01/28/2015	175	1	2015	W	28	193
01/29/2015	175.2	1	2015	Th	29	194
01/30/2015		1	2015	F	30	195
01/31/2015		1	2015	Sa	31	196
02/01/2015	176.4	2	2015	Su	32	197
02/02/2015	176.6	2	2015	M	33	198
02/03/2015	175.4	2	2015	T	34	199
02/04/2015	176.4	2	2015	W	35	200
02/05/2015	176	2	2015	Th	36	201
02/06/2015	176.2	2	2015	F	37	202
02/07/2015	176	2	2015	Sa	38	203
02/08/2015	177.8	2	2015	Su	39	204
02/09/2015	176	2	2015	M	40	205
02/10/2015	176.2	2	2015	T	41	206
02/11/2015	176.2	2	2015	W	42	207
02/12/2015	174.6	2	2015	Th	43	208
02/13/2015	176.6	2	2015	F	44	209
02/14/2015	175.2	2	2015	Sa	45	210
02/15/2015	176.2	2	2015	Su	46	211
02/16/2015	176.4	2	2015	M	47	212
02/17/2015		2	2015	T	48	213
02/18/2015		2	2015	W	49	214
02/19/2015		2	2015	Th	50	215
02/20/2015		2	2015	F	51	216
02/21/2015	173.8	2	2015	Sa	52	217
02/22/2015	175.2	2	2015	Su	53	218
02/23/2015	175	2	2015	M	54	219
02/24/2015	174.6	2	2015	T	55	220
02/25/2015	176.8	2	2015	W	56	221
02/26/2015	175.2	2	2015	Th	57	222
02/27/2015	174	2	2015	F	58	223
02/28/2015	175	2	2015	Sa	59	224
03/01/2015	174	3	2015	Su	60	225
03/02/2015	173.4	3	2015	M	61	226
03/03/2015	173.2	3	2015	T	62	227
03/04/2015	172.6	3	2015	W	63	228
03/05/2015	174.2	3	2015	Th	64	229
03/06/2015	173	3	2015	F	65	230
03/07/2015		3	2015	Sa	66	231
03/08/2015		3	2015	Su	67	232
03/09/2015	174.2	3	2015	M	68	233
03/10/2015	173	3	2015	T	69	234
03/11/2015	174.2	3	2015	W	70	235
03/12/2015	174	3	2015	Th	71	236
03/13/2015	173.2	3	2015	F	72	237
03/14/2015	172.6	3	2015	Sa	73	238
03/15/2015	172.6	3	2015	Su	74	239
03/16/2015	172	3	2015	M	75	240
03/17/2015	171.8	3	2015	T	76	241
03/18/2015	170.4	3	2015	W	77	242
03/19/2015	171.4	3	2015	Th	78	243
03/20/2015	172	3	2015	F	79	244
04/01/2015	172.4	4	2015	W	91	256
04/02/2015	171.4	4	2015	Th	92	257
04/03/2015	172	4	2015	F	93	258
04/04/2015	174	4	2015	Sa	94	259
04/05/2015	173	4	2015	Su	95	260
04/06/2015	173.2	4	2015	M	96	261
04/07/2015	173.4	4	2015	T	97	262
04/13/2015	173.2	4	2015	M	103	268
						
04/18/2015	172.4	4	2015	Sa	108	273
04/19/2015	173	4	2015	Su	109	274
04/20/2015	173.4	4	2015	M	110	275
04/21/2015	173.6	4	2015	T	111	276
04/22/2015	173.2	4	2015	W	112	277
04/23/2015	173.4	4	2015	Th	113	278
04/24/2015	174	4	2015	F	114	279
04/25/2015	173.6	4	2015	Sa	115	280
						
						
						
04/29/2015	173.6	4	2015	W	119	284
04/30/2015	173	4	2015	Th	120	285
05/01/2015	173	5	2015	F	121	286
05/02/2015	173.6	5	2015	Sa	122	287
05/03/2015	174	5	2015	Su	123	288
05/04/2015	172	5	2015	M	124	289
05/05/2015	170.8	5	2015	T	125	290
05/06/2015	169.4	5	2015	W	126	291
05/07/2015	168	5	2015	Th	127	292
05/08/2015	167	5	2015	F	128	293
05/09/2015	168	5	2015	Sa	129	294
05/10/2015	169.2	5	2015	Su	130	295
05/11/2015	167.8	5	2015	M	131	296
05/12/2015	167.6	5	2015	T	132	297
05/13/2015	167.6	5	2015	W	133	298
05/14/2015	168	5	2015	Th	134	299
05/15/2015	167.2	5	2015	F	135	300
05/16/2015	169	5	2015	Sa	136	301
05/17/2015	168.4	5	2015	Su	137	302
05/18/2015	167.4	5	2015	M	138	303
05/19/2015	167.8	5	2015	T	139	304
05/20/2015	167.2	5	2015	W	140	305
05/21/2015		5	2015	Th	141	306
05/22/2015	170	5	2015	F	142	307
05/23/2015	169.2	5	2015	Sa	143	308
05/24/2015	168	5	2015	Su	144	309
05/25/2015	168	5	2015	M	145	310
05/26/2015	167.6	5	2015	T	146	311
05/27/2015	167.8	5	2015	W	147	312
05/28/2015		5	2015	Th	148	313
05/29/2015		5	2015	F	149	314
05/30/2015		5	2015	Sa	150	315
05/31/2015		5	2015	Su	151	316
06/01/2015		6	2015	M	152	317
06/02/2015		6	2015	T	153	318
06/03/2015	172	6	2015	W	154	319
06/04/2015	169.2	6	2015	Th	155	320
06/05/2015	169.2	6	2015	F	156	321
06/06/2015	170.2	6	2015	Sa	157	322
06/07/2015	168.6	6	2015	Su	158	323
06/08/2015	169.4	6	2015	M	159	324
06/09/2015	168.2	6	2015	T	160	325
06/10/2015	168.6	6	2015	W	161	326
06/11/2015	168	6	2015	Th	162	327
06/13/2015	169.6	6	2015	Sa	164	329
06/14/2015	169.6	6	2015	Su	165	330
06/15/2015	169.4	6	2015	M	166	331
06/16/2015		6	2015	T	167	332
06/17/2015		6	2015	W	168	333
06/18/2015	169	6	2015	Th	169	334
06/19/2015	167.8	6	2015	F	170	335
06/20/2015	169.2	6	2015	Sa	171	336
06/21/2015	171	6	2015	Su	172	337
06/22/2015	169.4	6	2015	M	173	338
06/23/2015	169	6	2015	T	174	339
06/24/2015	168.2	6	2015	W	175	340
06/26/2015	169.6	6	2015	F	177	342
06/27/2015	170.4	6	2015	Sa	178	343
06/28/2015	170.6	6	2015	Su	179	344
06/29/2015	170	6	2015	M	180	345
06/30/2015	169	6	2015	T	181	346
07/01/2015	167.6	7	2015	W	182	347
07/12/2015	170.8	7	2015	Su	193	358
07/13/2015	169.6	7	2015	M	194	359
07/14/2015	168.8	7	2015	T	195	360
07/31/2015	167.8	7	2015	F	212	377
08/01/2015	167.2	8	2015	Sa	213	378
08/02/2015	166.4	8	2015	Su	214	379
08/03/2015	167.4	8	2015	M	215	380
08/04/2015	166.2	8	2015	T	216	381
08/14/2015	170.6	8	2015	F	226	391
08/15/2015	170.2	8	2015	Sa	227	392
08/16/2015	168.4	8	2015	Su	228	393
08/17/2015	168.8	8	2015	M	229	394
08/18/2015	167.4	8	2015	T	230	395
08/19/2015	167.8	8	2015	W	231	396
08/20/2015	166	8	2015	Th	232	397
08/21/2015	165.4	8	2015	F	233	398
08/22/2015	166.8	8	2015	Sa	234	399
08/23/2015	167.2	8	2015	Su	235	400
08/24/2015	167.4	8	2015	M	236	401
08/25/2015	166.4	8	2015	T	237	402
08/26/2015	168	8	2015	W	238	403
08/27/2015	170	8	2015	Th	239	404
08/28/2015	170.4	8	2015	F	240	405
08/29/2015	169.6	8	2015	Sa	241	406
08/30/2015	168.4	8	2015	Su	242	407
08/31/2015	167.8	8	2015	M	243	408
09/01/2015	166.6	9	2015	T	244	409
09/02/2015	167.2	9	2015	W	245	410
09/03/2015	169	9	2015	Th	246	411
09/04/2015	167.8	9	2015	F	247	412
09/05/2015	169	9	2015	Sa	248	413
09/06/2015	169.6	9	2015	Su	249	414
09/07/2015	169.8	9	2015	M	250	415
09/08/2015	170.8	9	2015	T	251	416
09/09/2015	169	9	2015	W	252	417
09/10/2015	168.4	9	2015	Th	253	418
09/11/2015	170.8	9	2015	F	254	419
09/12/2015	170.8	9	2015	Sa	255	420
09/13/2015	171.4	9	2015	Su	256	421
09/14/2015	168.8	9	2015	M	257	422
09/15/2015	169	9	2015	T	258	423
09/16/2015	169.6	9	2015	W	259	424
09/17/2015	168.8	9	2015	Th	260	425
09/18/2015	169.2	9	2015	F	261	426
09/19/2015	170	9	2015	Sa	262	427
09/20/2015	170.4	9	2015	Su	263	428
09/21/2015	170.4	9	2015	M	264	429
09/22/2015	169.2	9	2015	T	265	430
09/23/2015	169.6	9	2015	W	266	431
09/24/2015	169.6	9	2015	Th	267	432
09/25/2015	169	9	2015	F	268	433
09/26/2015	170.2	9	2015	Sa	269	434
09/27/2015	168.4	9	2015	Su	270	435
09/28/2015	169.4	9	2015	M	271	436
09/29/2015	169.4	9	2015	T	272	437
09/30/2015	169.4	9	2015	W	273	438
10/01/2015	169.6	10	2015	Th	274	439
10/02/2015	169.8	10	2015	F	275	440
10/03/2015	168.8	10	2015	Sa	276	441
10/04/2015	170	10	2015	Su	277	442
10/05/2015	169.8	10	2015	M	278	443
10/06/2015	169.8	10	2015	T	279	444
10/07/2015	170.2	10	2015	W	280	445
10/08/2015	171	10	2015	Th	281	446
10/15/2015	171.4	10	2015	Th	288	453
10/16/2015	170.6	10	2015	F	289	454
10/17/2015	171.2	10	2015	Sa	290	455
10/18/2015	171.4	10	2015	Su	291	456
10/19/2015	171.4	10	2015	M	292	457
10/20/2015	170.2	10	2015	T	293	458
10/21/2015	169.4	10	2015	W	294	459
10/26/2015	172.6	10	2015	M	299	464
10/27/2015	171.4	10	2015	T	300	465
10/28/2015	171.8	10	2015	W	301	466
10/29/2015		10	2015	Th	302	467
10/30/2015		10	2015	F	303	468
10/31/2015	171.8	10	2015	Sa	304	469
11/01/2015	172.6	11	2015	Su	305	470
11/02/2015	172	11	2015	M	306	471
11/03/2015	170.4	11	2015	T	307	472
11/04/2015	171	11	2015	W	308	473
11/15/2015	173.2	11	2015	Su	319	484
11/16/2015	172	11	2015	M	320	485
11/17/2015	171	11	2015	T	321	486
11/18/2015	171.6	11	2015	W	322	487
11/20/2015	170.8	11	2015	F	324	489
11/21/2015	173.2	11	2015	Sa	325	490
11/22/2015	172	11	2015	Su	326	491
11/23/2015	173.2	11	2015	M	327	492
11/24/2015	173.4	11	2015	T	328	493
11/25/2015	172.6	11	2015	W	329	494
11/26/2015	174.2	11	2015	Th	330	495
11/27/2015	175.2	11	2015	F	331	496
11/28/2015	175.4	11	2015	Sa	332	497
11/29/2015	176.6	11	2015	Su	333	498
11/30/2015	173.2	11	2015	M	334	499
12/01/2015	173.2	12	2015	T	335	500
12/02/2015	174.2	12	2015	W	336	501
12/03/2015	174.8	12	2015	Th	337	502
12/04/2015	174.4	12	2015	F	338	503
12/05/2015	174.6	12	2015	Sa	339	504
12/06/2015	174.2	12	2015	Su	340	505
12/07/2015	176.4	12	2015	M	341	506
12/08/2015	174.8	12	2015	T	342	507
12/09/2015	174.4	12	2015	W	343	508
12/10/2015	174	12	2015	Th	344	509
12/11/2015	174.6	12	2015	F	345	510
12/12/2015	175	12	2015	Sa	346	511
12/13/2015	173.8	12	2015	Su	347	512
12/14/2015	174.8	12	2015	M	348	513
12/15/2015	174.6	12	2015	T	349	514
12/16/2015	174	12	2015	W	350	515
12/17/2015	175.6	12	2015	Th	351	516
12/18/2015	173.2	12	2015	F	352	517
12/21/2015	176.6	12	2015	M	355	520
12/22/2015	175.4	12	2015	T	356	521
12/23/2015	174.6	12	2015	W	357	522
12/24/2015	173.6	12	2015	Th	358	523
12/25/2015	175	12	2015	F	359	524
12/26/2015	175.6	12	2015	Sa	360	525
12/27/2015	174.6	12	2015	Su	361	526
12/28/2015	174.4	12	2015	M	362	527
12/29/2015	174.4	12	2015	T	363	528
12/30/2015	176.8	12	2015	W	364	529
12/31/2015	176.4	12	2015	Th	365	530
01/01/2016	176.4	1	2016	F	1	531
01/02/2016	176.8	1	2016	Sa	2	532
01/03/2016	175.4	1	2016	Su	3	533
01/04/2016	176.8	1	2016	M	4	534
01/05/2016	174.2	1	2016	T	5	535
01/06/2016	173.8	1	2016	W	6	536
01/07/2016	174.4	1	2016	Th	7	537
01/08/2016	176.2	1	2016	F	8	538
01/09/2016	177.4	1	2016	Sa	9	539
01/10/2016	175.4	1	2016	Su	10	540
01/11/2016	175.6	1	2016	M	11	541
01/12/2016	174.4	1	2016	T	12	542
01/13/2016	175	1	2016	W	13	543
01/14/2016		1	2016	Th	14	544
01/15/2016		1	2016	F	15	545
01/16/2016	174	1	2016	Sa	16	546
01/17/2016	174	1	2016	Su	17	547
01/18/2016	173.8	1	2016	M	18	548
01/19/2016	174.2	1	2016	T	19	549
01/20/2016	173.6	1	2016	W	20	550
01/21/2016	175.4	1	2016	Th	21	551
01/22/2016	174.8	1	2016	F	22	552
01/23/2016	173	1	2016	Sa	23	553
01/24/2016	174	1	2016	Su	24	554
01/25/2016	174.6	1	2016	M	25	555
01/26/2016		1	2016	T	26	556
01/27/2016	175	1	2016	W	27	557
01/28/2016	173	1	2016	Th	28	558
01/29/2016	172.8	1	2016	F	29	559
01/30/2016	174	1	2016	Sa	30	560
01/31/2016	174.2	1	2016	Su	31	561
02/01/2016	172.6	2	2016	M	32	562
02/02/2016	173.6	2	2016	T	33	563
02/03/2016	172.2	2	2016	W	34	564
02/04/2016	172.8	2	2016	Th	35	565
02/05/2016	173.8	2	2016	F	36	566
02/06/2016	172	2	2016	Sa	37	567
02/07/2016	172.4	2	2016	Su	38	568
02/08/2016	172.4	2	2016	M	39	569
02/09/2016	170.6	2	2016	T	40	570
02/10/2016	170.4	2	2016	W	41	571
02/11/2016	170.4	2	2016	Th	42	572
02/12/2016	170.4	2	2016	F	43	573
02/13/2016	171.2	2	2016	Sa	44	574
02/14/2016	171.8	2	2016	Su	45	575
02/15/2016	172	2	2016	M	46	576
02/16/2016	171	2	2016	T	47	577
02/19/2016	169.6	2	2016	F	50	580
02/20/2016	169.8	2	2016	Sa	51	581
02/21/2016	169.8	2	2016	Su	52	582
02/22/2016	169.8	2	2016	M	53	583
02/23/2016	169.2	2	2016	T	54	584
02/24/2016	170.2	2	2016	W	55	585
02/25/2016	170.6	2	2016	Th	56	586
02/26/2016	169.8	2	2016	F	57	587
02/27/2016	171.6	2	2016	Sa	58	588
02/28/2016	172	2	2016	Su	59	589
02/29/2016	172.6	2	2016	M	60	590
03/01/2016	170.6	3	2016	T	61	591
03/02/2016		3	2016	W	62	592
03/03/2016	173.6	3	2016	Th	63	593
03/04/2016	170.2	3	2016	F	64	594
03/05/2016	171.2	3	2016	Sa	65	595
03/06/2016	169.8	3	2016	Su	66	596
03/07/2016	171.2	3	2016	M	67	597
03/08/2016	171	3	2016	T	68	598
03/09/2016	171.4	3	2016	W	69	599
03/10/2016	171	3	2016	Th	70	600
03/11/2016	170.2	3	2016	F	71	601
03/12/2016	171.2	3	2016	Sa	72	602
03/13/2016	171.6	3	2016	Su	73	603
03/14/2016	171.4	3	2016	M	74	604
03/15/2016	168.8	3	2016	T	75	605
03/16/2016	170.6	3	2016	W	76	606
03/17/2016	170.6	3	2016	Th	77	607
03/18/2016	171	3	2016	F	78	608
04/01/2016	172.8	4	2016	F	92	622
04/02/2016	172.4	4	2016	Sa	93	623
04/03/2016	171.4	4	2016	Su	94	624
04/04/2016	170.8	4	2016	M	95	625
04/05/2016	169	4	2016	T	96	626
04/06/2016	169.4	4	2016	W	97	627
04/07/2016	170	4	2016	Th	98	628
04/11/2016	170.8	4	2016	M	102	632
04/12/2016	171.8	4	2016	T	103	633
04/13/2016	170.6	4	2016	W	104	634
04/14/2016	169.8	4	2016	Th	105	635
04/15/2016	170.6	4	2016	F	106	636
04/16/2016	169.4	4	2016	Sa	107	637
04/17/2016	171.6	4	2016	Su	108	638
04/18/2016	170.2	4	2016	M	109	639
04/19/2016	170.4	4	2016	T	110	640
04/20/2016		4	2016	W	111	641
04/21/2016	171.4	4	2016	Th	112	642
04/22/2016		4	2016	F	113	643
04/23/2016		4	2016	Sa	114	644
04/24/2016		4	2016	Su	115	645
04/25/2016	172.6	4	2016	M	116	646
04/26/2016	171.4	4	2016	T	117	647
04/27/2016	172.6	4	2016	W	118	648
04/28/2016	170.6	4	2016	Th	119	649
04/29/2016	170	4	2016	F	120	650
04/30/2016	171.4	4	2016	Sa	121	651
05/01/2016	172.4	5	2016	Su	122	652
05/02/2016	170.8	5	2016	M	123	653
05/03/2016	172.2	5	2016	T	124	654
05/04/2016	171.6	5	2016	W	125	655
05/05/2016	170.6	5	2016	Th	126	656
05/06/2016	169.6	5	2016	F	127	657
05/07/2016	170.6	5	2016	Sa	128	658
05/08/2016	172.4	5	2016	Su	129	659
05/09/2016	171.2	5	2016	M	130	660
05/10/2016	171	5	2016	T	131	661
05/11/2016	171.4	5	2016	W	132	662
05/12/2016	171.2	5	2016	Th	133	663
05/13/2016	171	5	2016	F	134	664
05/14/2016	171	5	2016	Sa	135	665
05/15/2016		5	2016	Su	136	666
05/16/2016		5	2016	M	137	667
05/17/2016		5	2016	T	138	668
05/18/2016	170.6	5	2016	W	139	669
05/19/2016	171.2	5	2016	Th	140	670
05/20/2016	169.2	5	2016	F	141	671
05/21/2016	172.2	5	2016	Sa	142	672
05/22/2016	171.2	5	2016	Su	143	673
05/23/2016	170.6	5	2016	M	144	674
05/24/2016	169.8	5	2016	T	145	675
05/25/2016	169.8	5	2016	W	146	676
05/26/2016	169.6	5	2016	Th	147	677
05/27/2016		5	2016	F	148	678
05/28/2016		5	2016	Sa	149	679
05/29/2016		5	2016	Su	150	680
05/30/2016	171.6	5	2016	M	151	681
05/31/2016	169.8	5	2016	T	152	682
06/01/2016	168.6	6	2016	W	153	683
06/02/2016	169.4	6	2016	Th	154	684
06/03/2016	169.4	6	2016	F	155	685
06/04/2016	171.4	6	2016	Sa	156	686
06/05/2016	169.2	6	2016	Su	157	687
06/06/2016	169.8	6	2016	M	158	688
06/07/2016	171	6	2016	T	159	689
06/08/2016	170.8	6	2016	W	160	690
06/09/2016	171.6	6	2016	Th	161	691
06/10/2016	171.2	6	2016	F	162	692
06/11/2016	171.4	6	2016	Sa	163	693
06/12/2016	171	6	2016	Su	164	694
06/13/2016	170	6	2016	M	165	695
06/14/2016		6	2016	T	166	696
06/15/2016	169.6	6	2016	W	167	697
06/16/2016	169.2	6	2016	Th	168	698
06/17/2016	167.6	6	2016	F	169	699
06/18/2016	168.4	6	2016	Sa	170	700
06/19/2016	168.8	6	2016	Su	171	701
06/20/2016	168.2	6	2016	M	172	702
06/21/2016	168.8	6	2016	T	173	703
06/22/2016	167.8	6	2016	W	174	704
06/23/2016	169	6	2016	Th	175	705
06/24/2016	168.2	6	2016	F	176	706
06/25/2016	167.6	6	2016	Sa	177	707
06/26/2016	166.4	6	2016	Su	178	708
06/27/2016	170.2	6	2016	M	179	709
06/28/2016	167.4	6	2016	T	180	710
06/29/2016	168.4	6	2016	W	181	711
07/21/2016	164.6	7	2016	Th	203	733
07/22/2016	164.2	7	2016	F	204	734
07/23/2016	164.2	7	2016	Sa	205	735
07/24/2016	165.2	7	2016	Su	206	736
07/25/2016	166.2	7	2016	M	207	737
07/26/2016	166.6	7	2016	T	208	738
07/27/2016	165.8	7	2016	W	209	739
08/06/2016	168.8	8	2016	Sa	219	749
08/07/2016	167.6	8	2016	Su	220	750
08/08/2016	165.8	8	2016	M	221	751
08/09/2016	166	8	2016	T	222	752
08/10/2016	166.2	8	2016	W	223	753
08/11/2016	167	8	2016	Th	224	754
08/12/2016	167	8	2016	F	225	755
08/13/2016	167	8	2016	Sa	226	756
08/14/2016	168.8	8	2016	Su	227	757
08/15/2016	168.2	8	2016	M	228	758
08/16/2016	165.8	8	2016	T	229	759
08/17/2016	166	8	2016	W	230	760
08/18/2016	166.2	8	2016	Th	231	761
08/19/2016	166.6	8	2016	F	232	762
08/20/2016	165.2	8	2016	Sa	233	763
08/21/2016	166.6	8	2016	Su	234	764
08/28/2016	167.2	8	2016	Su	241	771
08/29/2016	167.2	8	2016	M	242	772
08/30/2016	167.8	8	2016	T	243	773
08/31/2016	167.6	8	2016	W	244	774
09/01/2016	168.8	9	2016	Th	245	775
09/05/2016	168.4	9	2016	M	249	779
09/06/2016	166.6	9	2016	T	250	780
09/07/2016	168.6	9	2016	W	251	781
