Year	Year_no	Date	Winner	Mins	Secs	Time.in.Sec	Distance (mi)	Speed
1972	98	May 6, 1972	Riva Ridge	2	1.8	121.80	1.25	36.945813
1973	99	May 5, 1973	Secretariat	1	59.4	119.40	1.25	37.688442
1974	100	May 4, 1974	Cannonade	2	4	124.00	1.25	36.290323
1975	101	May 3, 1975	Foolish Pleasure	2	2	122.00	1.25	36.885246
1976	102	May 1, 1976	Bold Forbes	2	1.6	121.60	1.25	37.006579
1977	103	May 7, 1977	Seattle Slew	2	2.2	122.20	1.25	36.824877
1978	104	May 6, 1978	Affirmed	2	1.2	121.20	1.25	37.128713
1979	105	May 5, 1979	Spectacular Bid	2	2.2	122.20	1.25	36.824877
1980	106	May 3, 1980	Genuine Risk	2	2	122.00	1.25	36.885246
1981	107	May 2, 1981	Pleasant Colony	2	2	122.00	1.25	36.885246
1982	108	May 1, 1982	Gato Del Sol	2	2.4	122.40	1.25	36.764706
1983	109	May 7, 1983	SunnyÕs Halo	2	2.2	122.20	1.25	36.824877
1984	110	May 5, 1984	Swale	2	2.4	122.40	1.25	36.764706
1985	111	May 4, 1985	Spend a Buck	2	0.2	120.20	1.25	37.437604
1986	112	May 3, 1986	Ferdinand	2	2.8	122.80	1.25	36.644951
1987	113	May 2, 1987	Alysheba	2	3.4	123.40	1.25	36.466775
1988	114	May 7, 1988	Winning Colors	2	2.2	122.20	1.25	36.824877
1989	115	May 6, 1989	Sunday Silence	2	5	125.00	1.25	36
1990	116	May 5, 1990	Unbridled	2	2	122.00	1.25	36.885246
1991	117	May 4, 1991	Strike the Gold	2	3	123.00	1.25	36.585366
1992	118	May 2, 1992	Lil E. Tee	2	3	123.00	1.25	36.585366
1993	119	May 1, 1993	Sea Hero	2	2.4	122.40	1.25	36.764706
1994	120	May 7, 1994	Go for Gin	2	3.6	123.60	1.25	36.407767
1995	121	May 6, 1995	Thunder Gulch	2	1.2	121.20	1.25	37.128713
1996	122	May 4, 1996	Grindstone	2	1	121.00	1.25	37.190083
1997	123	May 3, 1997	Silver Charm	2	2.4	122.40	1.25	36.764706
1998	124	May 2, 1998	Real Quiet	2	4.2	124.20	1.25	36.231884
1999	125	May 1, 1999	Charismatic	2	3.2	123.20	1.25	36.525974
2000	126	May 6, 2000	Fusaichi Pegasus	2	1	121.00	1.25	37.190083
2001	127	May 5, 2001	Monarchos	1	59.97	119.97	1.25	37.509377
2002	128	May 4, 2002	War Emblem	2	1.1	121.10	1.25	37.159372
2003	129	May 3, 2003	Funny Cide	2	1.19	121.19	1.25	37.131777
2004	130	May 1, 2004	Smarty Jones	2	4.06	124.06	1.25	36.272771
2005	131	May 7, 2005	Giacomo	2	2.75	122.75	1.25	36.659878
2006	132	May 6, 2006	Barbaro	2	1.36	121.36	1.25	37.079763
2007	133	May 5, 2007	Street Sense	2	2.17	122.17	1.25	36.833920
2008	134	May 2, 2008	Big Brown	2	1.82	121.82	1.25	36.939747
2009	135	May 2, 2009	Mine That Bird	2	2.66	122.66	1.25	36.686776
2010	136	May 1, 2010	Super Saver	2	4.04	124.04	1.25	36.278620
2011	137	May 7, 2011	Animal Kingdom	2	2.04	122.04	1.25	36.873156
2012	138	May 5, 2012	I'll Have Another	2	1.83	121.83	1.25	36.936715
2013	139	May 4, 2013	Orb	2	2.89	122.89	1.25	36.618114
2014	140	May 2, 2014	California Chrome2	2	3.66	123.66	1.25	36.390102
2015	141	May 2, 2015	American Pharoah	2	3.03	123.03	1.25	36.576445
2016	142	May 7, 2016	Nyquist	2	1.31	121.31	1.25	37.095046
2017	143	May 6, 2017	Always Dreaming	2	3.59	123.59	1.25	36.410713
2018	144	May 5, 2018	Justify	2	4.20	120.07	1.25	37.478138
2019	145	May 5, 2019	Country House	2	3.93	120.065	1.25	37.479698
2020	146	Sept 4, 2020	Authentic	2	0.61	120.61	1.25	37.310339
