Name	Born	Died	Age	Gender	Class.Dept	Class	Ticket	Fare	Cabin	Joined	Occupation	Survived	Boat	Body	Nationality	Pounds	Shillings	Pence	Price.Paid	Paidpp
AL-BA'QLīNī, Miss Hilānah	1909	1939	2	Female	3rd Class Passenger	3rd	2666	£19             5s             2d		Cherbourg		SAVED	C		Syrian	19	5	2	19.26	4.815
AL-BA'QLīNī, Miss Mārīyā	1906	1982	5	Female	3rd Class Passenger	3rd	2666	£19             5s             2d		Cherbourg		SAVED	C		Syrian	19	5	2	19.26	4.815
AL-BA'QLīNī, Miss Ūwjīnīyā	1909	1912	3	Female	3rd Class Passenger	3rd	2666	£19             5s             2d		Cherbourg		SAVED	C		Syrian	19	5	2	19.26	4.815
AL-BA'QLīNī, Mrs Laṭīfah	1888	1962	23	Female	3rd Class Passenger	3rd	2666	£19             5s             2d		Cherbourg		SAVED	C		Syrian	19	5	2	19.26	4.815
AL-MUNà, Mr Farīd Husayn Qāsim	1893	1912	19	Male	3rd Class Passenger	3rd	2700	£7             4s             7d		Cherbourg	Farmer	LOST			Syrian	7	4	7	7.23	7.23
AL-ZA'INNī, Mr Fahīm Rūḥānā	1886	1927	25	Male	3rd Class Passenger	3rd	2620	£7             4s             6d		Cherbourg	General Labourer	SAVED	6		Syrian,American	7	4	6	7.23	7.23
ALDWORTH, Mr Augustus Henry	1877	1912	35	Male	2nd Class Passenger Servant	2nd	248744	£13.00		Southampton	Chauffeur	LOST			English	13			13	13
ALEXANDER, Mr William Albert	1887	1912	24	Male	3rd Class Passenger	3rd	3474	£7             17s             9d		Southampton	General Labourer	LOST			English	7	17	9	7.89	7.89
ALHOMäKI, Mr Ilmari Rudolf	1893	1912	19	Male	3rd Class Passenger	3rd	3101287	£7             18s             6d		Southampton	General Labourer	LOST			Finnish	7	18	6	7.93	7.93
ALI, Mr William	1887	1912	25	Male	3rd Class Passenger	3rd	3101312	£7             1s		Southampton	General Labourer	LOST		79	Syrian	7	1		7.05	7.05
ALLEN, Miss Elisabeth Walton	1882	1967	29	Female	1st Class Passenger	1st	24160	£211             6s             9d	B5	Southampton		SAVED	2		American	211	6	9	214.04	53.51
ALLEN, Mr William Henry	1873	1912	39	Male	3rd Class Passenger	3rd	373450	£8             1s		Southampton	Tool Maker	LOST			English	8	1		8.05	8.05
ALLISON, Master Hudson Trevor	1911	1929	0.916666667	Male	1st Class Passenger	1st	113781	£151             16s	C22/26	Southampton		SAVED	11		Canadian	151	16		151.8	25.3
ALLISON, Miss Helen Loraine	1909	1912	2	Female	1st Class Passenger	1st	113781	£151             16s	C22/26	Southampton		LOST			Canadian	151	16		151.8	25.3
ALLISON, Mr Hudson Joshua Creighton	1881	1912	30	Male	1st Class Passenger	1st	113781	£151             16s	C22/26	Southampton	Businessman	LOST		135	Canadian	151	16		151.8	25.3
ALLISON, Mrs Bess Waldo	1886	1912	25	Female	1st Class Passenger	1st	113781	£151             16s	C22/26	Southampton		LOST			Canadian	151	16		151.8	25.3
ALLUM, Mr Owen George	1894	1912	17	Male	3rd Class Passenger	3rd	2223	£8             6s		Southampton	Gardener	LOST		259	English	8	6		8.3	8.3
ANDERSEN-JENSEN, Miss Carla Christine Nielsine	1893	1980	19	Female	3rd Class Passenger	3rd	350046	£7             17s             1d		Southampton		SAVED	16			7	17	1	7.85	7.85
ANDERSEN, Mr Albert Kaurin	1878	1912	33	Male	3rd Class Passenger	3rd	4001	£22             10s             6d		Southampton	Engineer	LOST		260	Norwegian	22	10	6	22.53	7.51
ANDERSON, Mr Henry	1869	1951	42	Male	1st Class Passenger	1st	19952	£26             11s	E12	Southampton	Stockbroker	SAVED	3		American	26	11		26.55	26.55
ANDERSSON, Master Sigvard Harald Elias	1907	1912	4	Male	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Miss Ebba Iris Alfrida	1905	1912	6	Female	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Miss Ellis Anna Maria	1910	1912	2	Female	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Miss Erna Alexandra	1895		16	Female	3rd Class Passenger	3rd	3101281	£7             18s             6d		Southampton		SAVED			Finnish	7	18	6	7.93	7.93
ANDERSSON, Miss Ida Augusta Margareta	1873	1912	38	Female	3rd Class Passenger	3rd	347091	£7             15s             6d		Southampton		LOST			Swedish	7	15	6	7.78	7.78
ANDERSSON, Miss Ingeborg Constanzia	1902	1912	9	Female	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Miss Sigrid Elisabeth	1900	1912	11	Female	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Mr Anders Johan	1873	1912	39	Male	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton	General Labourer	LOST				31	5	6	31.28	4.4685714286
ANDERSSON, Mr Johan Samuel	1885	1912	26	Male	3rd Class Passenger	3rd	347075	£7             15s             6d		Southampton	Carpenter / Joiner	LOST			Swedish	7	15	6	7.78	7.78
ANDERSSON, Mrs Alfrida Konstantia Brogren	1872	1912	39	Female	3rd Class Passenger	3rd	347082	£31             5s             6d		Southampton		LOST				31	5	6	31.28	4.4685714286
ANDREASSON, Mr Pål Edvin	1892	1912	20	Male	3rd Class Passenger	3rd	347466	£7             17s             1d		Southampton	General Labourer	LOST			Swedish	7	17	1	7.85	7.85
ANDREW, Mr Edgar Samuel	1895	1912	17	Male	2nd Class Passenger	2nd	231945	£11             10s		Southampton		LOST			English-Argentinian	11	10		11.5	11.5
ANDREW, Mr Frank Thomas	1885	1912	26	Male	2nd Class Passenger	2nd	34050	£10             10s		Southampton	Miner	LOST			English	10	10		10.5	10.5
ANDREWS, Miss Cornelia Theodosia	1849	1913	62	Female	1st Class Passenger	1st	13502	£77             19s             2d	D7	Cherbourg		SAVED	10		American	77	19	2	77.96	25.986666667
ANDREWS, Mr Thomas	1873	1912	39	Male	1st Class Passenger H&W Guarantee Group	1st	112050		A36	Belfast	Shipbuilder	LOST			Irish					
ANGLE, Mr William	1881	1912	31	Male	2nd Class Passenger	2nd	226875	£26.00		Southampton	Tile Maker	LOST			English	26			26	13
ANGLE, Mrs Florence Agnes	1876	1969	36	Female	2nd Class Passenger	2nd	226875	£26.00		Southampton		SAVED	11		English	26			26	13
APPLETON, Mrs Charlotte	1858	1924	53	Female	1st Class Passenger	1st	11769	£51             9s             7d	C101	Southampton		SAVED	2		American	51	9	7	51.48	25.74
ARNOLD-FRANCHI, Mr Josef	1887	1912	25	Male	3rd Class Passenger	3rd	349237	£17             16s	(E)58	Southampton	General Labourer	LOST				17	16		17.8	8.9
ARNOLD-FRANCHI, Mrs Josefine	1893	1912	18	Female	3rd Class Passenger	3rd	349237	£17             16s	R190	Southampton		LOST				17	16		17.8	8.9
ARONSSON, Mr Ernst Axel Algot	1887	1912	25	Male	3rd Class Passenger	3rd	349911	£7             15s             6d		Southampton	General Labourer	LOST			Swedish	7	15	6	7.78	7.78
ARTAGAVEYTIA, Mr Ramon	1840	1912	71	Male	1st Class Passenger	1st	17609	£49             10s             1d		Cherbourg	Businessman	LOST		22	Uruguayan	49	10	1	49.5	49.5
ASHBY, Mr John	1854	1912	57	Male	2nd Class Passenger	2nd	244346	£13.00		Southampton		LOST			English	13			13	13
ASIM, Mr Adola	1877	1912	35	Male	3rd Class Passenger	3rd	3101310	£7             1s		Southampton	General Labourer	LOST			Syrian	7	1		7.05	7.05
ASPLUND, Master Carl Edgar	1906	1912	5	Male	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		LOST			American	31	7	9	31.39	4.4842857143
ASPLUND, Master Clarence Gustaf Hugo	1902	1912	9	Male	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		LOST				31	7	9	31.39	4.4842857143
ASPLUND, Master Edvin Rojj Felix	1909	1983	3	Male	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		SAVED	15		American, Swedish	31	7	9	31.39	4.4842857143
ASPLUND, Master Filip Oscar	1898	1912	13	Male	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		LOST				31	7	9	31.39	4.4842857143
ASPLUND, Miss Lillian Gertrud	1906	2006	5	Female	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		SAVED	15		American	31	7	9	31.39	4.4842857143
ASPLUND, Mr Carl Oscar Vilhelm Gustafsson	1871	1912	40	Male	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton	General Labourer	LOST		142	Swedish,American	31	7	9	31.39	4.4842857143
ASPLUND, Mr Johan Charles	1889	1943	23	Male	3rd Class Passenger	3rd	350054	£7             15s             11d		Southampton		SAVED	13		Swedish	7	15	11	7.8	7.8
ASPLUND, Mrs Selma Augusta Emilia	1873	1964	38	Female	3rd Class Passenger	3rd	347077	£31             7s             9d		Southampton		SAVED	15			31	7	9	31.39	4.4842857143
ASSAM, Mr Ali	1889	1912	23	Male	3rd Class Passenger	3rd	3101309	£7             1s		Southampton	General Labourer	LOST			Syrian	7	1		7.05	7.05
ASTOR, Colonel John Jacob	1864	1912	47	Male	1st Class Passenger	1st	17757	£247             10s             6d	C-17/C-21?	Cherbourg	Property Developer / Real Estate	LOST		124	American	247	10	6	247.53	49.506
ASTOR, Mrs Madeleine Talmage	1893	1940	18	Female	1st Class Passenger	1st	17757	£247             10s             6d	C-17/C-21?	Cherbourg		SAVED	4		American	247	10	6	247.53	49.506
ATā ALLāH, Miss Malakah	1894	1912	18	Female	3rd Class Passenger	3rd	2627	£14             9s             2d		Cherbourg		LOST			Syrian	14	9	2	14.46	7.23
ATTALA, Mr Sleiman Khalil	1885	1912	27	Male	3rd Class Passenger	3rd	2694	£7             4s             6d		Cherbourg	Journalist	LOST			Syrian	7	4	6	7.23	7.23
AUBART, Mme. Léontine Pauline	1887	1964	24	Female	1st Class Passenger	1st	17477	£69             6s	B35	Cherbourg	Singer	SAVED	9		French	69	6		69.3	34.65
AUGUSTSSON, Mr Albert	1889	1912	23	Male	3rd Class Passenger	3rd	347468	£7             17s             1d		Southampton	General Labourer	LOST			Swedish	7	17	1	7.85	7.85
AYYūB-DāHIR, Miss Bannūrah	1897	1970	15	Female	3rd Class Passenger	3rd	2687	£7             4s             7d		Cherbourg		SAVED	C		Syrian	7	4	7	7.23	7.23
BACKSTRöM, Mr Karl Alfred	1880	1912	32	Male	3rd Class Passenger	3rd	3101278	£15             17s		Southampton	General Labourer	LOST			Finnish	15	17		15.85	7.925
BACKSTRöM, Mrs Maria Mathilda	1878	1947	33	Female	3rd Class Passenger	3rd	3101278	£15             17s		Southampton		SAVED				15	17		15.85	7.925
BADMAN, Miss Emily Louisa	1894	1946	18	Female	3rd Class Passenger	3rd	31416	£8             1s		Southampton	Servant	SAVED	C		English	8	1		8.05	8.05
BADT, Mr Mohamed	1872	1912	40	Male	3rd Class Passenger	3rd	2623	£7             4s             6d		Cherbourg	Farmer	LOST			Syrian	7	4	6	7.23	7.23
BAILEY, Mr Percy	1894	1912	18	Male	2nd Class Passenger	2nd	29108	£11             10s		Southampton	Butcher's Assistant	LOST			English	11	10		11.5	11.5
BAINBRIGGE, Mr Charles Robert	1889	1912	22	Male	2nd Class Passenger	2nd	31030	£10             10s		Southampton	Horse Trainer	LOST			Channel Islander	10	10		10.5	10.5
BAKIć, Mr Cerin	1886	1912	26	Male	3rd Class Passenger	3rd	349248	£7             17s             11d		Southampton	General Labourer	LOST				7	17	11	7.9	7.9
BALLS, Mrs Ada E.	1875	1967	36	Female	2nd Class Passenger	2nd	28551	£13.00	D?	Southampton		SAVED	10		English	13			13	13
BANEWER, Mr Solomon	1870	1912	42	Male	2nd Class Passenger	2nd	211535	£13.00		Southampton	Merchant	LOST			Lithuanian	13			13	13
BANFIELD, Mr Frederick James	1884	1912	28	Male	2nd Class Passenger	2nd	34068	£10             10s		Southampton	Miner	LOST			English	10	10		10.5	10.5
BARBARA, Miss Saiide	1894	1912	18	Female	3rd Class Passenger	3rd	2691	£14             9s             1d		Cherbourg	Housekeeper	LOST			Syrian	14	9	1	14.45	7.225
BARBARA, Mrs Catherine David	1867	1912	45	Female	3rd Class Passenger	3rd	2691	£14             9s             1d		Cherbourg	Housekeeper	LOST			Syrian	14	9	1	14.45	7.225
BARBER, Miss Ellen Mary	1885	1963	26	Female	1st Class Passenger Servant	1st	19877	£78             17s		Southampton	Personal Maid	SAVED	6		English	78	17		78.85	26.283333333
BARKWORTH, Mr Algernon Henry	1864	1945	47	Male	1st Class Passenger	1st	27042	£30.00	A23	Southampton	Justice of the Peace	SAVED	B		English	30			30	30
BARRY, Miss Julia	1881	1912	30	Female	3rd Class Passenger	3rd	330844	£7             17s             7d		Queenstown	Housekeeper	LOST			Irish,American	7	17	7	7.88	7.88
BARTON, Mr David John	1890	1912	22	Male	3rd Class Passenger	3rd	324669	£8             1s		Southampton	General Labourer	LOST			English	8	1		8.05	8.05
BASSANI, Mrs Albina	1880	1960	31	Female	1st Class Passenger Servant	1st	11813	£76             5s             10d	D15	Cherbourg	Personal Maid	SAVED	8		Italian	76	5	10	76.29	38.145
BATEMAN, Revd Robert James	1859	1912	52	Male	2nd Class Passenger	2nd	1166	£12             10s             6d		Southampton	Priest / Minister	LOST		174	English	12	10	6	12.53	12.53
BATOSHEV, Mr Hristo Lalev	1889	1912	23	Male	3rd Class Passenger	3rd	349217	£7             17s             11d		Southampton	General Labourer	LOST				7	17	11	7.9	7.9
BAUMANN, Mr John David	1864	1912	48	Male	1st Class Passenger	1st	17318	£25             18s             6d		Cherbourg	Businessman	LOST			American	25	18	6	25.93	25.93
BAXTER, Mr Quigg Edmond	1887	1912	24	Male	1st Class Passenger	1st	17558	£247             10s             5d	B58/60	Cherbourg		LOST			Canadian	247	10	5	247.52	82.506666667
BAXTER, Mrs Hélène	1862	1923	50	Female	1st Class Passenger	1st	17558	£247             10s             5d	B58/60	Cherbourg		SAVED	6		Canadian	247	10	5	247.52	82.506666667
BAZZī, Mr Rashīd Al-Hāj 'Adb al-Husayn	1882	1912	30	Male	3rd Class Passenger	3rd	2629	£7             4s             7d		Cherbourg		LOST			Syrian	7	4	7	7.23	7.23
BEANE, Mr Edward	1879	1948	32	Male	2nd Class Passenger	2nd	2908	£26.00		Southampton		SAVED	9		English	26			26	13
BEANE, Mrs Ethel Louisa	1889	1983	22	Female	2nd Class Passenger	2nd	2908	£26.00		Southampton		SAVED	9		English	26			26	13
BEATTIE, Mr Thomson	1875	1912	36	Male	1st Class Passenger	1st	13050	£75             4s             10d		Southampton	Landowner	LOST	A	331	Canadian	75	4	10	75.24	37.62
BEAUCHAMP, Mr Henry James	1868	1912	43	Male	2nd Class Passenger	2nd	244358	£26.00		Southampton	Club Head Steward	LOST			English	26			26	13
BEAVAN, Mr William Thomas	1892	1912	20	Male	3rd Class Passenger	3rd	323951	£8             1s		Southampton	General Labourer	LOST			English	8	1		8.05	8.05
BECKER, Master Richard F.	1910	1975	1	Male	2nd Class Passenger	2nd	230136	£39.00	F8	Southampton		SAVED	11		American	39			39	9.75
BECKER, Miss Marion Louise	1907	1944	4	Female	2nd Class Passenger	2nd	230136	£39.00	F8	Southampton		SAVED	11		American	39			39	9.75
BECKER, Miss Ruth Elizabeth	1899	1990	12	Female	2nd Class Passenger	2nd	230136	£39.00	F8	Southampton		SAVED	13		American	39			39	9.75
BECKER, Mrs Nellie E.	1876	1961	35	Female	2nd Class Passenger	2nd	230136	£39.00	F8	Southampton		SAVED	11		American	39			39	9.75
BECKWITH, Mr Richard Leonard	1874	1933	37	Male	1st Class Passenger	1st	11751	£52             11s             1d	D35	Southampton		SAVED	5		American	52	11	1	52.55	26.275
BECKWITH, Mrs Sarah Maybell	1865	1955	46	Female	1st Class Passenger	1st	11751	£52             11s             1d	D35	Southampton		SAVED	5		American	52	11	1	52.55	26.275
BEESLEY, Mr Lawrence	1877	1967	34	Male	2nd Class Passenger	2nd	248698	£13.00	D56	Southampton	Teacher	SAVED	13			13			13	13
BEHR, Mr Karl Howell	1885	1949	26	Male	1st Class Passenger	1st	111369	£30.00	C148	Cherbourg		SAVED	5			30			30	30
BENGTSSON, Mr Jan Viktor	1885	1912	26	Male	3rd Class Passenger	3rd	347068	£7             15s             6d		Southampton	General Labourer	LOST			Swedish	7	15	6	7.78	7.78
BENTHAM, Miss Lillian Winifred	1892	1977	19	Female	2nd Class Passenger	2nd	28404	£13.00		Southampton		SAVED	12		American	13			13	13
BERGLUND, Mr Karl Ivar Sven	1890	1912	22	Male	3rd Class Passenger	3rd	4348	£9             7s		Southampton	General Labourer	LOST				9	7		9.35	9.35
BERRIMAN, Mr William John	1889	1912	23	Male	2nd Class Passenger	2nd	28425	£13.00		Southampton		LOST			English	13			13	13
BESSETTE, Miss Nellie Mayo	1872	1944	39	Female	1st Class Passenger Servant	1st	17760	£63             7s             2d	C99	Cherbourg	Personal Maid	SAVED	8		American	63	7	2	63.36	15.84
BIDOIS, Miss Rosalie	1865	1938	46	Female	1st Class Passenger Servant	1st	17757	£247             10s             6d		Cherbourg	Personal Maid	SAVED	4		Channel Islander	247	10	6	247.53	49.506
BING, Mr Lee	1880		32	Male	3rd Class Passenger	3rd	1601	£56             9s             11d		Southampton	Seaman	SAVED	C			56	9	11	56.5	7.0625
BIRD, Miss Ellen	1881	1949	31	Female	1st Class Passenger Servant	1st	17483	£221             15s             7d	C97	Southampton	Personal Maid	SAVED	8		English	221	15	7	221.78	55.445
BIRKELAND, Mr Hans Martin Monsen	1890	1912	21	Male	3rd Class Passenger	3rd	312992	£7             15s             6d		Southampton	Seaman	LOST			Norwegian	7	15	6	7.78	7.78
BIRNBAUM, Mr Jakob	1887	1912	24	Male	1st Class Passenger	1st	13905	£26.00		Cherbourg		LOST		148	Polish	26			26	26
BISHOP, Mr Dickinson H.	1887	1961	25	Male	1st Class Passenger	1st	11967	£91             1s             7d	B49	Cherbourg		SAVED	7		American	91	1	7	91.08	45.54
BISHOP, Mrs Helen Margaret	1892	1916	19	Female	1st Class Passenger	1st	11967	£91             1s             7d	B49	Cherbourg		SAVED	7		American	91	1	7	91.08	45.54
BJöRKLUND, Mr Ernst Heribert	1894	1912	18	Male	3rd Class Passenger	3rd	347090	£7             15s		Southampton	General Labourer	LOST				7	15		7.75	7.75
BJöRNSTRöM-STEFFANSSON, Mr Mauritz Håkan	1883	1962	28	Male	1st Class Passenger	1st	110564	£26             11s	C52 ?	Southampton	Businessman	SAVED	D		Swedish	26	11		26.55	26.55
BLACKWELL, Mr Stephen Weart	1866	1912	45	Male	1st Class Passenger	1st	113784	£35             10s	T	Southampton		LOST			American	35	10		35.5	35.5
BLANK, Mr Henry	1872	1949	39	Male	1st Class Passenger	1st	112277	£31.00	A31	Cherbourg	Jeweller	SAVED	7			31			31	31
BONNELL, Miss Caroline	1882	1950	30	Female	1st Class Passenger	1st	36928	£164             17s             4d	C7	Southampton		SAVED	8		American	164	17	4	164.87	41.2175
BONNELL, Miss Elizabeth	1850	1936	61	Female	1st Class Passenger	1st	113783	£26             11s	C103	Southampton		SAVED	8		English	26	11		26.55	26.55
BOREBANK, Mr John James	1870	1912	41	Male	1st Class Passenger	1st	110489	£26             11s	D22	Southampton	Property Developer / Real Estate	LOST			English,Canadian	26	11		26.55	26.55
BOSTANDJIEV, Mr Gencho	1886	1912	26	Male	3rd Class Passenger	3rd	349224	£7             17s             11d		Southampton	General Labourer	LOST				7	17	11	7.9	7.9
BOTSFORD, Mr William Hull	1886	1912	25	Male	2nd Class Passenger	2nd	237670	£13.00		Southampton		LOST			American	13			13	13
BOULOS, Mr Hanna	1894	1912	18	Male	3rd Class Passenger	3rd	2664	£7             4s             6d		Cherbourg	General Labourer	LOST			Syrian	7	4	6	7.23	7.23
BOURKE, Miss Mary	1871	1912	40	Female	3rd Class Passenger	3rd	364848	£7             15s		Queenstown		LOST			Irish	7	15		7.75	7.75
BOURKE, Mr John	1869	1912	42	Male	3rd Class Passenger	3rd	364849	£15             10s		Queenstown	Farmer	LOST			Irish	15	10		15.5	7.75
BOURKE, Mrs Catherine	1879	1912	32	Female	3rd Class Passenger	3rd	364849	£15             10s		Queenstown	Housewife	LOST			Irish	15	10		15.5	7.75
BOWEN, Miss Grace Scott	1867	1945	45	Female	1st Class Passenger Servant	1st	17608	£262             7s             6d		Cherbourg	Governess	SAVED	4		American	262	7	6	262.38	37.482857143
BOWEN, Mr David John 'Dai'	1891	1912	20	Male	3rd Class Passenger	3rd	54636	£16             2s		Southampton	Pugilist	LOST			Welsh	16	2		16.1	8.05
BOWERMAN, Miss Elsie Edith	1889	1973	22	Female	1st Class Passenger	1st	113505	£55.00	E33	Southampton		SAVED	6		English	55			55	27.5
BRACKEN, Mr James Hollen	1881	1912	30	Male	2nd Class Passenger	2nd	220367	£13.00		Southampton	Stockman	LOST			American	13			13	13
BRADLEY, Miss Bridget	1890	1956	22	Female	3rd Class Passenger	3rd	334914	£7             14s             6d		Queenstown		SAVED	13		Irish	7	14	6	7.73	7.73
BRADY, Mr John Bertram	1870	1912	41	Male	1st Class Passenger	1st	113054	£30             10s	A21	Southampton		LOST			American	30	10		30.5	30.5
BRAF, Miss Elin Ester Maria	1891	1912	20	Female	3rd Class Passenger	3rd	347471	£7             17s             1d		Southampton	Servant	LOST			Swedish	7	17	1	7.85	7.85
BRAILEY, Mr William Theodore Ronald	1887	1912	24	Male	2nd Class Passenger Musician	2nd	250654		E	Southampton	Musician	LOST			English					
BRANDEIS, Mr Emil Franklin	1864	1912	48	Male	1st Class Passenger	1st	17591	£50             9s             11d	B10	Cherbourg		LOST		208	American	50	9	11	50.5	50.5
BRAUND, Mr Lewis Richard	1883	1912	29	Male	3rd Class Passenger	3rd	3460	£7                         11d		Southampton	Farm Labourer	LOST			English	7	0	11	7.1	7.1
BRAUND, Mr Owen Harris	1889	1912	22	Male	3rd Class Passenger	3rd	21171	£7             5s		Southampton	Ironmonger	LOST			English	7	5		7.25	7.25
BRERETON, Mr George Andrew	1874	1942	37	Male	1st Class Passenger	1st	111427	£26             11s		Southampton		SAVED	9		American	26	11		26.55	26.55
BREWE, Dr Arthur Jackson	1866	1912	45	Male	1st Class Passenger	1st	112379	£39             12s		Cherbourg		LOST			Irish	39	12		39.6	39.6
BRICOUX, Mr Roger Marie	1891	1912	20	Male	2nd Class Passenger Musician	2nd	250654		E	Southampton	Musician	LOST								
BRITO, Mr José Joaquim de	1871	1912	40	Male	2nd Class Passenger	2nd	244360	£13.00		Southampton		LOST			Portuguese	13			13	13
BROBäCK, Mr Karl Rudolf	1890	1912	22	Male	3rd Class Passenger	3rd	350045	£7             15s             11d		Southampton	Decorator	LOST			Swedish	7	15	11	7.8	7.8
BROCKLEBANK, Mr William Alfred	1872	1912	40	Male	3rd Class Passenger	3rd	364512	£8             1s		Southampton	Groom	LOST			English	8	1		8.05	8.05
BROWN, Miss Amelia Mary	1893	1976	18	Female	2nd Class Passenger Servant	2nd	248733	£13.00	F33	Southampton	Cook (Personal)	SAVED	11		English	13			13	13
BROWN, Miss Edith Eileen	1896	1997	15	Female	2nd Class Passenger	2nd	29750	£39.00		Southampton	Scholar	SAVED	14		South African, British	39			39	13
BROWN, Mr Thomas William Solomon	1851	1912	60	Male	2nd Class Passenger	2nd	29750	£39.00		Southampton	Hotelier	LOST				39			39	13
BROWN, Mrs Caroline Lane	1852	1928	59	Female	1st Class Passenger	1st	11769	£51             9s             7d	C101	Southampton		SAVED	D		American	51	9	7	51.48	25.74
BROWN, Mrs Elizabeth Catherine	1872	1925	39	Female	2nd Class Passenger	2nd	29750	£39.00		Southampton		SAVED	14		South African	39			39	13
BROWN, Mrs Margaret	1867	1932	44	Female	1st Class Passenger	1st	17610	£27             14s             5d		Cherbourg	Socialite	SAVED	6		American	27	14	5	27.72	27.72
BRYHL, Miss Dagmar Jenny Ingeborg	1891	1969	20	Female	2nd Class Passenger	2nd	236853	£26.00		Southampton		SAVED	12		Swedish	26			26	13
BRYHL, Mr Kurt Arnold Gottfrid	1887	1912	25	Male	2nd Class Passenger	2nd	236853	£26.00		Southampton		LOST			Swedish	26			26	13
