Name	Location	Diam(km)	age(Ma)	N/S	Lat	Long	LogDiam()	LogAge()	Buried	Drilled
Wetumpka	"Alabama, U.S.A."	6.5	81	N	32.516667	-86.166667	0.81291336	1.908485	N	Y
Krdla	Estonia	7	455	N	59.016667	22.766667	0.84509804	2.6580114	Y	Y
Crooked Creek	"Missouri, U.S.A."	7	320	N	37.833333	-91.383333	0.84509804	2.50515	N	N
Piccaninny	"Western Australia, Australia"	7	360	S	-17.533333	128.41667	0.84509804	2.5563025	N	N
Lockne	Sweden	7.5	455	N	63	14.816667	0.87506126	2.6580114	Y	Y
Wanapitei	"Ontario, Canada"	7.5	37.2	N	46.75	-80.75	0.87506126	1.5705429	Y	N
Couture	"Quebec, Canada"	8	430	N	60.133333	-75.333333	0.90308999	2.6334685	N	N
Serpent Mound	"Ohio, U.S.A."	8	320	N	39.033333	-83.4	0.90308999	2.50515	N	Y
Des Plaines	"Illinois, U.S.A."	8	280	N	42.05	-87.866667	0.90308999	2.447158	Y	Y
Beyenchime-Salaatin	Russia	8	40	N	71	121.66667	0.90308999	1.60206	N	N
Vepriai	Lithuania	8	160	N	55.083333	24.583333	0.90308999	2.20412	Y	Y
Neugrund	Estonia	8	470	N	59.333333	23.666667	0.90308999	2.6720979	Y	
La Moinerie	"Quebec, Canada"	8	400	N	57.433333	-66.616667	0.90308999	2.60206	N	N
Elbow	"Saskatchewan, Canada"	8	395	N	50.983333	-106.71667	0.90308999	2.5965971	Y	Y
Bigach	Kazakhstan	8	5	N	48.566667	82.016667	0.90308999	0.69897	N	Y
Glover Bluff	"Wisconsin, U.S.A."	8	500	N	43.966667	-89.533333	0.90308999	2.69897	N	Y
Crawford	Australia	8.5	35	S	-34.716667	139.03333	0.92941893	1.544068	N	N
Calvin	"Michigan, USA"	8.5	450	N	41.833333	-85.95	0.92941893	2.6532125	Y	Y
Ilyinets	Ukraine	8.5	378	N	49.116667	29.1	0.92941893	2.5774918	Y	Y
Connolly Basin	"Western Australia, Australia"	9	60	S	-23.533333	124.75	0.95424251	1.7781513	N	N
Mien	Sweden	9	121	N	56.416667	14.866667	0.95424251	2.0827854	N	Y
Red Wing	"North Dakota, U.S.A."	9	200	N	47.6	-103.55	0.95424251	2.30103	Y	Y
Ragozinka	Russia	9	46	N	58.733333	61.8	0.95424251	1.6627578	Y	Y
Lumparn	Finland	9	1000	N	60.15	20.1	0.95424251	3	Y	Y
Flaxman	Australia	10	35	S	-34.616667	139.06667	1	1.544068	N	N
Paasselk	Finland	10	1800	N	62.033333	29.083333	1	3.2552725	N	Y
Upheaval Dome	"Utah, U.S.A."	10	170	N	38.433333	-109.9	1	2.2304489	N	Y
Eagle Butte	"Alberta, Canada"	10	65	N	49.7	-110.5	1	1.8129134	Y	Y
Karla	Russia	10	5	N	54.916667	48.033333	1	0.69897	N	Y
Kelly West	"Northern Territory, Australia"	10	550	S	-19.933333	133.95	1	2.7403627	Y	N
Bosumtwi	Ghana	10.5	1.03	N	6.5	-1.4166667	1.0211893	0.01283722	N	N
Ternovka	Ukraine	11	280	N	48.25	33.5	1.0413927	2.447158	Y	Y
Wells Creek	"Tennessee, U.S.A."	12	200	N	36.383333	-87.666667	1.0791812	2.30103	N	Y
Avak	"Alaska, U.S.A."	12	95	N	71.25	-156.63333	1.0791812	1.9777236	Y	Y
Serra da Cangalha	Brazil	12	300	S	-8.0833333	-46.866667	1.0791812	2.4771213	N	Y
Vargeao Dome	Brazil	12	70	S	-26.833333	-52.116667	1.0791812	1.845098	N	N
Nicholson	"Northwest Territories, Canada"	12.5	400	N	62.666667	-102.68333	1.09691	2.60206	Y	N
Aorounga	"Chad, Africa"	12.6	345	N	19.1	19.25	1.1003705	2.5378191	N	N
Marquez	"Texas, U.S.A."	12.7	58	N	31.283333	-96.3	1.1038037	1.763428	Y	Y
Kentland	"Indiana, U.S.A."	13	97	N	40.75	-87.4	1.1139434	1.9867717	N	Y
Deep Bay	"Saskatchewan, Canada"	13	99	N	56.4	-102.98333	1.1139434	1.9956352	Y	Y
Sierra Madera	"Texas, U.S.A."	13	100	N	30.6	-102.91667	1.1139434	2	N	Y
Spider	"Western Australia, Australia"	13	570	S	-16.733333	126.08333	1.1139434	2.7558749	N	N
Gweni-Fada	"Chad, Africa"	14	345	N	17.416667	21.75	1.146128	2.5378191	N	N
Zhamanshin	Kazakhstan	14	0.9	N	48.4	60.966667	1.146128	-0.04575749	N	Y
Jnisjrvi	Russia	14	700	N	61.966667	30.916667	1.146128	2.845098	N	N
Logoisk	Belarus	15	42.3	N	54.2	27.8	1.1760913	1.6263404	Y	Y
Kaluga	Russia	15	380	N	54.5	36.2	1.1760913	2.5797836	Y	Y
Ames	"Oklahoma, U.S.A."	16	470	N	36.25	-98.2	1.20412	2.6720979	Y	Y
Suavjrvi	Russia	16	2400	N	63.116667	33.383333	1.20412	3.3802112		
Oasis	Libya	18	120	N	24.583333	24.4	1.2552725	2.0791812	N	N
Lawn Hill	"Queensland, Australia"	18	515	S	-18.666667	138.65	1.2552725	2.7118072	N	N
El'gygytgyn	Russia	18	3.5	N	67.5	172.08333	1.2552725	0.54406804	N	N
Dellen	Sweden	19	89	N	61.8	16.8	1.2787536	1.94939	N	N
Obolon'	Ukraine	20	169	N	49.583333	32.916667	1.30103	2.2278867	Y	Y
Logancha	Russia	20	40	N	65.516667	95.933333	1.30103	1.60206	Y	N
Gosses Bluff	"Northern Territory, Australia"	22	142.5	S	-23.816667	132.31667	1.3424227	2.1538149	N	Y
Rochechouart	France	23	214	N	45.833333	0.93333333	1.3617278	2.3304138	N	N
Lappajrvi	Finland	23	73.3	N	63.2	23.7	1.3617278	1.865104	N	Y
Ries	Germany	24	15.1	N	48.883333	10.616667	1.3802112	1.1789769	N	Y
Boltysh	Ukraine	24	65.17	N	48.75	32.166667	1.3802112	1.8140477	Y	Y
Presqu'ile	"Quebec, Canada"	24	500	N	49.716667	-74.8	1.3802112	2.69897	N	N
Haughton	"Nunavut, Canada"	24	23	N	75.366667	-89.683333	1.3802112	1.3617278	N	N
Ust-Kara	Russia	25	70.3	N	69.25	65.383333	1.39794	1.8469553	N	N
Kamensk	Russia	25	49	N	48.35	40.5	1.39794	1.6901961	Y	Y
Strangways	"Northern Territory,        Australia"	25	646	S	-15.2	133.58333	1.39794	2.8102325	N	N
Steen River	"Alberta, Canada"	25	95	N	59.5	-117.63333	1.39794	1.9777236	Y	Y
Clearwater East	"Quebec, Canada"	26	290	N	56.083333	-74.116667	1.4149733	2.462398	N	Y
Mistastin	"Newfoundland/Labrador, Canada"	28	36	N	55.883333	-63.3	1.447158	1.5563025	N	N
Shoemaker (formerly        Teague)	"Western Australia,  Australia"	30	1630	S	-25.866667	120.88333	1.4771213	3.2121876	N	N
Azuara	Spain	30	40	N	41.166667	-0.91666667	1.4771213	1.60206	Y	N
Slate Islands	"Ontario, Canada"	30	450	N	48.666667	-87	1.4771213	2.6532125	N	N
Manson	"Iowa, U.S.A."	35	73.8	N	42.583333	-94.55	1.544068	1.8680564	Y	Y
Clearwater West	"Quebec, Canada"	36	290	N	56.216667	-74.5	1.5563025	2.462398	N	Y
Carswell	"Saskatchewan, Canada"	39	115	N	58.45	-109.5	1.5910646	2.0606978	N	Y
Saint Martin	"Manitoba, Canada"	40	220	N	51.783333	-98.533333	1.60206	2.3424227	Y	Y
MjÀlnir	Norway	40	142	N	73.8	29.666667	1.60206	2.1522883	Y	N
Woodleigh	Australia	40	364	S	-26.05	114.65	1.60206	2.5611014	Y	Y
Araguainha	Brazil	40	244.4	S	-16.783333	-52.983333	1.60206	2.3881012	N	N
Montagnais	"Nova Scotia, Canada"	45	50.5	N	42.883333	-64.216667	1.6532125	1.7032914	Y	Y
Kara-Kul	Tajikistan	52	5	N	39.016667	73.45	1.7160033	0.69897	N	N
Siljan	Sweden	52	368	N	61.033333	14.866667	1.7160033	2.5658478	N	Y
Charlevoix	"Quebec, Canada"	54	342	N	47.533333	-70.3	1.7323938	2.5340261	N	Y
Tookoonooka	"Queensland, Australia"	55	128	S	-27.116667	142.83333	1.7403627	2.10721	Y	Y
Beaverhead	"Montana, U.S.A."	60	600	N	44.6	-113	1.7781513	2.7781513	N	N
Kara	Russia	65	70.3	N	69.1	64.15	1.8129134	1.8469553	Y	Y
Morokweng	South Africa	70	145	S	-26.466667	23.533333	1.845098	2.161368	Y	Y
Puchezh-Katunki	Russia	80	167	N	56.966667	43.716667	1.90309	2.2227165	Y	Y
Chesapeake Bay	"Virginia, U.S.A."	90	35.5	N	37.283333	-76.016667	1.9542425	1.5502284	Y	Y
Acraman	"South Australia, Australia"	90	590	S	-32.016667	135.45	1.9542425	2.770852	N	N
Manicouagan	"Quebec, Canada"	100	214	N	51.383333	-68.7	2	2.3304138	N	Y
Popigai	Russia	100	35.7	N	71.65	111.18333	2	1.5526682	N	Y
Chicxulub	"Yucatan, Mexico"	170	64.98	N	21.333333	-89.5	2.2304489	1.8127797	Y	Y
Sudbury	"Ontario, Canada"	250	1850	N	46.6	-81.183333	2.39794	3.2671717	N	Y
Vredefort	South Africa	300	2023	S	-27	27.5	2.4771213	3.3059959	N	Y
