Time(sec)	Speed	Age(yr)	Dominant	Gender#	HD	hand used
22.25	2.6966292	16.739220	1	0	R	R
22.38	2.6809651	12.676249	0	0	R	L
64.18	0.93487068	4.0164271	1	1	L	L
26.9	2.2304833	10.277892	0	1	R	L
25.84	2.3219814	6.9130732	0	1	L	R
23.97	2.5031289	9.4236824	1	1	R	R
34.97	1.7157564	4.9418207	1	1	R	R
21.87	2.7434842	9.8042437	0	0	R	L
21.56	2.7829314	7.8767967	1	1	R	R
20.75	2.8915663	12.150582	0	0	R	L
14.88	4.0322581	16.596851	1	0	R	R
21.9	2.7397260	10.759754	1	0	R	R
44.75	1.3407821	8.6324435	0	0	R	L
26.84	2.2354694	15.362081	0	0	R	L
16.54	3.6275695	15.509925	1	0	L	L
19.4	3.0927835	13.979466	0	0	R	L
20.37	2.9455081	9.1800137	1	0	L	L
27.46	2.1849964	7.0882957	0	0	R	L
28.19	2.1284143	5.9192334	0	0	R	L
72.37	0.82907282	3.0581793	0	0	R	L
21.44	2.7985075	7.8357290	1	1	R	R
41.01	1.4630578	4.4462697	1	0	R	R
19.57	3.0659172	13.316906	1	0	R	R
25.38	2.3640662	10.280630	1	1	R	R
48.25	1.2435233	3.4004107	1	1	R	R
32.56	1.8427518	5.0239562	1	1	R	R
17.19	3.4904014	16.780287	0	0	R 	L 
21.50	2.7906977	15.991786	1	0	R	R
34.50	1.7391304	7.3292266	1	0	R	R
15.69	3.8240918	16.783025	1	0	R	R
15.97	3.7570445	16.889802	0	1	R	L
18.34	3.2715376	14.918549	0	0	R	L
18.53	3.2379924	16.903491	0	0	L 	R
22.28	2.6929982	16.963723	1	1	R	R
18.91	3.1729244	15.655031	0	0	R	L
25.16	2.3847377	5.3004791	1	0	L	L
44.06	1.3617794	4.7392197	0	1	R	L
24.25	2.4742268	10.732375	0	0	R	L
18.12	3.3112583	15.575633	1	0	R	R
20.75	2.8915663	15.060917	0	0	R	L
23.10	2.5974026	12.725530	0	0	R	L
20.97	2.8612303	10.305270	0	0	R	L
21.53	2.7868091	13.180014	0	1	R	L
14.28	4.2016807	15.841205	1	0	R	R
19.88	3.0181087	15.211499	1	0	L	L
23.09	2.5985275	15.271732	1	0	R	R
18.66	3.2154341	11.310062	1	1	R	R
21.97	2.7309968	14.543463	0	0	R	L
18.72	3.2051282	15.225188	0	1	R	L
22.91	2.6189437	10.209446	1	0	L	L
19.00	3.1578947	13.524983	0	1	R	L
20.81	2.8832292	12.027379	0	1	R	L
19.47	3.0816641	10.083504	0	0	R	L
19.25	3.1168831	10.866530	1	1	R	R
26.10	2.2988506	11.605749	0	0	L	R
23.90	2.5104603	10.787132	0	0	R	L
23.72	2.5295110	8.6351814	0	1	R	L
24.09	2.4906600	7.2498289	1	0	R	R
24.74	2.4252223	9.6208077	1	0	R	R
30.41	1.9730352	6.5872690	0	0	R	L
22.63	2.6513478	9.5906913	1	1	R	R
35.87	1.6727070	7.7809719	0	1	R	L
25.88	2.3183926	6.6611910	1	1	R	R
24.38	2.4610336	9.1197810	0	1	L	R
21.56	2.7829314	8.4736482	1	1	R	R
19.34	3.1023785	12.314853	1	1	R	R
24.88	2.4115756	10.346338	0	1	R	L
22.59	2.6560425	9.6290212	1	1	R	R
19.66	3.0518820	13.160849	1	1	R	R
24.06	2.4937656	9.7905544	1	1	R	R
19.94	3.0090271	9.9603012	0	1	L	R
22.81	2.6304253	11.926078	0	1	R	L
19.87	3.0196276	9.3853525	0	1	R	L
25.15	2.3856859	9.2402464	0	1	R	L
20.84	2.8790787	8.7036277	1	1	R	R
24.84	2.4154589	7.8576318	1	1	R	R
21.84	2.7472527	10.119097	1	1	R	R
43.97	1.3645668	8.4353183	0	1	R	L
30	2	6.6858316	0	1	R	L
33.43	1.7947951	6.7707050	1	1	R	R
20.1	2.9850746	9.7686516	1	1	R	R
27.57	2.1762786	6.4722793	1	0	R	R
42.63	1.4074595	6.0232717	0	1	R	L
33.13	1.8110474	6.7542779	0	0	R	L
27.5	2.1818182	6.9322382	1	1	R	R
40.16	1.4940239	6.1218344	0	0	R	L
36.75	1.6326531	6.2286105	0	1	R	L
29.63	2.0249747	6.1300479	1	1	R	R
31.84	1.8844221	6.2450376	0	0	R	L
